Crop,Disease,Pathogen,Symptoms,Recommended_Medicine,Application_Notes,Severity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Spray at early stage,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Repeat every 7-10 days,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Repeat every 7-10 days,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Use preventive spray,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Use preventive spray,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Follow recommended dosage,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Apply during high humidity,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Use preventive spray,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Spray at early stage,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Spray at early stage,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots,Copper Oxychloride,Follow recommended dosage,Mild
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Use preventive spray,Severe
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Repeat every 7-10 days,Moderate
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Spray at early stage,Mild
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Apply during high humidity,Severe
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Repeat every 7-10 days,Mild
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Use preventive spray,Moderate
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Follow recommended dosage,Moderate
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Use preventive spray,Mild
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Spray at early stage,Severe
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Spray at early stage,Mild
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Spray at early stage,Severe
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Follow recommended dosage,Moderate
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Repeat every 7-10 days,Mild
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Use preventive spray,Mild
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Apply during high humidity,Severe
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Follow recommended dosage,Severe
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Repeat every 7-10 days,Severe
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Apply during high humidity,Moderate
Potato,Early Blight,Alternaria solani,Target-like spots,Chlorothalonil,Apply during high humidity,Mild
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Apply during high humidity,Severe
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Repeat every 7-10 days,Severe
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Follow recommended dosage,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Spray at early stage,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Repeat every 7-10 days,Mild
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Apply during high humidity,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Use preventive spray,Severe
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Use preventive spray,Mild
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Follow recommended dosage,Mild
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Follow recommended dosage,Severe
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Use preventive spray,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black soil patches,Azoxystrobin,Spray at early stage,Mild
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Follow recommended dosage,Severe
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Use preventive spray,Moderate
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Use preventive spray,Severe
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Spray at early stage,Severe
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Repeat every 7-10 days,Severe
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Follow recommended dosage,Mild
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Apply during high humidity,Severe
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Apply during high humidity,Moderate
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Repeat every 7-10 days,Mild
Rice,Blast,Magnaporthe oryzae,Diamond lesions,Tricyclazole,Follow recommended dosage,Moderate
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Spray at early stage,Moderate
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Apply during high humidity,Mild
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Use preventive spray,Mild
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Repeat every 7-10 days,Mild
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Apply during high humidity,Severe
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Apply during high humidity,Moderate
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Spray at early stage,Severe
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Repeat every 7-10 days,Severe
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Follow recommended dosage,Mild
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Follow recommended dosage,Moderate
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Spray at early stage,Mild
Rice,Brown Spot,Bipolaris oryzae,Brown circular spots,Carbendazim,Follow recommended dosage,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Spray at early stage,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Apply during high humidity,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Repeat every 7-10 days,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Follow recommended dosage,Severe
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Apply during high humidity,Mild
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Repeat every 7-10 days,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Apply during high humidity,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Follow recommended dosage,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Spray at early stage,Moderate
Rice,Sheath Blight,Rhizoctonia solani,Oval lesions on sheath,Validamycin,Spray at early stage,Severe
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Spray at early stage,Mild
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Apply during high humidity,Severe
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Apply during high humidity,Moderate
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Follow recommended dosage,Mild
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Repeat every 7-10 days,Moderate
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Use preventive spray,Moderate
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Follow recommended dosage,Moderate
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Repeat every 7-10 days,Mild
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Apply during high humidity,Mild
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Repeat every 7-10 days,Severe
Wheat,Rust,Puccinia spp.,Orange pustules,Propiconazole,Use preventive spray,Severe
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Use preventive spray,Mild
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Follow recommended dosage,Mild
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Spray at early stage,Mild
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Apply during high humidity,Moderate
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Repeat every 7-10 days,Mild
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Follow recommended dosage,Moderate
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Use preventive spray,Severe
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Repeat every 7-10 days,Moderate
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Spray at early stage,Moderate
Wheat,Powdery Mildew,Blumeria graminis,White powder growth,Sulfur,Repeat every 7-10 days,Severe
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Follow recommended dosage,Mild
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Repeat every 7-10 days,Severe
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Apply during high humidity,Severe
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Use preventive spray,Mild
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Apply during high humidity,Mild
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Use preventive spray,Moderate
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Spray at early stage,Moderate
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Follow recommended dosage,Moderate
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Spray at early stage,Mild
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Use preventive spray,Severe
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Spray at early stage,Severe
Wheat,Loose Smut,Ustilago tritici,Black powder heads,Carboxin,Apply during high humidity,Moderate
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Repeat every 7-10 days,Moderate
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Follow recommended dosage,Mild
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Repeat every 7-10 days,Mild
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Apply during high humidity,Mild
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Spray at early stage,Severe
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Follow recommended dosage,Severe
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Apply during high humidity,Severe
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Follow recommended dosage,Moderate
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Apply during high humidity,Moderate
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Use preventive spray,Severe
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Use preventive spray,Mild
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Repeat every 7-10 days,Severe
Maize,Leaf Blight,Exserohilum turcicum,Long gray lesions,Azoxystrobin,Spray at early stage,Moderate
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Repeat every 7-10 days,Severe
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Repeat every 7-10 days,Moderate
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Use preventive spray,Mild
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Use preventive spray,Severe
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Use preventive spray,Moderate
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Follow recommended dosage,Mild
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Apply during high humidity,Severe
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Follow recommended dosage,Moderate
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Spray at early stage,Severe
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Spray at early stage,Mild
Maize,Rust,Puccinia sorghi,Reddish pustules,Tebuconazole,Repeat every 7-10 days,Mild
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply during high humidity,Moderate
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Follow recommended dosage,Moderate
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply during high humidity,Severe
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Follow recommended dosage,Mild
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Repeat every 7-10 days,Mild
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Use preventive spray,Moderate
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Repeat every 7-10 days,Severe
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Repeat every 7-10 days,Moderate
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Use preventive spray,Mild
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Apply during high humidity,Mild
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Spray at early stage,Mild
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Follow recommended dosage,Severe
Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks,Metalaxyl,Use preventive spray,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Use preventive spray,Moderate
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Apply during high humidity,Moderate
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Use preventive spray,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Follow recommended dosage,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Repeat every 7-10 days,Moderate
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Apply during high humidity,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Spray at early stage,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Repeat every 7-10 days,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Apply during high humidity,Severe
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Spray at early stage,Mild
Cotton,Bacterial Blight,Xanthomonas campestris,Angular spots,Copper Oxychloride,Follow recommended dosage,Mild
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Apply during high humidity,Severe
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Repeat every 7-10 days,Severe
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Spray at early stage,Moderate
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Follow recommended dosage,Severe
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Repeat every 7-10 days,Moderate
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Spray at early stage,Mild
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Use preventive spray,Moderate
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Follow recommended dosage,Moderate
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Repeat every 7-10 days,Mild
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Spray at early stage,Severe
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Apply during high humidity,Moderate
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Use preventive spray,Mild
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Apply during high humidity,Mild
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Use preventive spray,Severe
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Apply during high humidity,Mild
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Spray at early stage,Moderate
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Follow recommended dosage,Moderate
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Repeat every 7-10 days,Mild
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Follow recommended dosage,Severe
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Follow recommended dosage,Mild
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Apply during high humidity,Severe
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Use preventive spray,Moderate
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Use preventive spray,Mild
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Repeat every 7-10 days,Severe
Cotton,Root Rot,Rhizoctonia solani,Wilting plants,Carbendazim,Spray at early stage,Severe
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Use preventive spray,Severe
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Spray at early stage,Moderate
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Repeat every 7-10 days,Moderate
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Apply during high humidity,Mild
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Spray at early stage,Mild
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Repeat every 7-10 days,Severe
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Use preventive spray,Mild
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Follow recommended dosage,Mild
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Repeat every 7-10 days,Mild
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Follow recommended dosage,Severe
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Spray at early stage,Severe
Mango,Anthracnose,Colletotrichum gloeosporioides,Black fruit spots,Carbendazim,Use preventive spray,Moderate
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Apply during high humidity,Mild
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Spray at early stage,Mild
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Use preventive spray,Severe
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Spray at early stage,Severe
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Spray at early stage,Moderate
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Repeat every 7-10 days,Moderate
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Apply during high humidity,Moderate
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Follow recommended dosage,Mild
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Apply during high humidity,Severe
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Repeat every 7-10 days,Mild
Mango,Powdery Mildew,Oidium mangiferae,White powder on panicles,Sulfur,Use preventive spray,Mild
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Repeat every 7-10 days,Mild
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Use preventive spray,Moderate
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Repeat every 7-10 days,Moderate
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Follow recommended dosage,Mild
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Apply during high humidity,Severe
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Apply during high humidity,Mild
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Apply during high humidity,Moderate
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Repeat every 7-10 days,Severe
